credit_provider_name;trading_names;registration_status;effective_date
"R.D.B. FINANSIELE KONSULTANTE BK";"";"lapsed";"2014/03/31"
"RUHAN FINANCIAL AND TRADING ENTERPRISES CC";"";"lapsed";"2014/03/31"
"NEWTON PARK FINANCIAL SERVICES CC";"";"lapsed";""
"PAPERMANIA TWENTY CC";"";"lapsed";"2018/11/30"
"I N I TRADE CC";"";"lapsed";"2014/10/30"
"EAST CAPE GAME PROPERTIES (PTY) LTD";"";"lapsed";"2018/11/23"
"AST AFRICA TRADING 367 CC";"";"lapsed";""
"BERZACK BROTHERS (PTY) LTD";"";"lapsed";"2018/03/21"
"INVESTOREX 56 CC";"";"lapsed";"2014/03/31"
"KS SHAKES FINANCE (PTY) LTD";"";"registered";"2017/11/24"
"GRIEKWASTAD FINANSIELE DIENSTE (PTY) LTD";"";"registered";"2017/11/28"
"ORIFHA CASH LOAN (PTY) LTD";"";"registered";"2017/11/27"
"ZONKE FIN (PTY) LTD";"";"registered";"2017/11/24"
"BOMANGETE TRADING AND PROJECTS (PTY) LTD";"";"registered";"2017/11/25"
"NEHAWU SAVINGS AND CREDIT CO-OPERATIVE LIMITED";"NEHAWE SACCO";"registered";"2017/11/17"
"SENZY GUMSI (PTY) LTD";"";"registered";"2017/11/23"
"PAWN CONNECTION (PTY) LTD";"";"registered";"2017/11/22"
"VISSER GROEP (PTY) LTD";"";"registered";"2017/11/23"
"BARATOPELO FINANCING CC";"";"registered";"2017/11/22"
"GOOD FRIENDS CASH LOAN (PTY) LTD";"";"cancelled_by_tribunal";"2018/11/15"
"JOHANNES HENDRIK SEBASTIAAN BERNARDO";"SECURE PRIME SOLUTION";"cancelled_by_tribunal";"2019/02/28"
"CMR GROUP (PTY) LTD";"";"cancelled_by_tribunal";"2019/08/19"
"GREAT HARVEST (PTY) LTD";"EASY CASH LOAN";"cancelled_by_tribunal";"2019/07/12"
"SEWATUMONG MICRO LENDING CC";"";"cancelled_by_tribunal";"2018/08/31"
"KHAZAMOLA CASH LOAN AND HOLDINGS (PTY) LTD";"KHAZAM CASH LOANS HOLDINGS";"cancelled_by_tribunal";"2019/07/22"
"THUSHANANG CASH LOANS CC";"";"voluntarily_cancelled";"2012/04/08"
"THUTHUKANI FINANCIAL SERVICES 55 CC";"";"voluntarily_cancelled";"2016/06/17"
"CUMAX 125 CC";"CUMAX 125 CC- KING WILLIAMS TOWN, MALEMSBURY";"voluntarily_cancelled";"2017/02/03"
"VARENNA BK";"QUICK CASH LOANS";"voluntarily_cancelled";"2010/02/24"
"ARCON FINANSIELE DIENSTE BK";"MILOC- LANGEBAAN, VREDENBURG, SALDANHA";"voluntarily_cancelled";"2009/11/25"
"BIGWIG FINANCIAL SERVICE (PTY) LTD";"BIGWIG FINANCE";"voluntarily_cancelled";"2019/02/18"
"M J RAUBENHEIMER CC";"RAMOHAU CASH LOANS";"voluntarily_cancelled";"2012/05/30"
"MEEG BANK LIMITED";"";"voluntarily_cancelled";""
"CEDAR BROKERS CC";"RAINBOW FINANCE";"voluntarily_cancelled";"2012/01/17"
"BAYPORT FINANCIAL SERVICES (PTY) LTD";"";"voluntarily_cancelled";"2017/07/03"
"SELL MOTORS CC";"";"lapsed";"2014/03/31"
